Nama Halaman	Kategori Fitur	Deskripsi Fungsional Fitur
Jelajah Nusantara - Board Maker	Jelajah Nusantara	Modul editor kreatif bagi pemain untuk merancang, mengedit, dan menyimpan peta papan 3D buatan sendiri.
Adu Cendekiawan - Setup	Adu Cendekiawan	Pengaturan deck kartu aksi dan tema soal kuis sebelum masuk arena duel tarik tambang.
Adu Cendekiawan - Tarik Tambang	Adu Cendekiawan	Arena duel kuis cepat 1v1 bertema papan tulis kelas melawan bot AI atau teman setempat.
Adu Cendekiawan - Taktik Aksi	Adu Cendekiawan	Pemilihan mode taktis (Mode Serang kurangi darah lawan vs Mode Pulih/Heal tambah darah sendiri) saat menjawab soal.
Adu Cendekiawan - Darah/HP Duel	Adu Cendekiawan	Mekanisme batas 10 unit darah (HP) dalam duel kuis, di mana duel berakhir jika HP salah satu pihak habis (nilai 0).
Toko Utama (Shop)	Toko & Inventori	Penukaran poin Bintang yang dikumpulkan siswa untuk membeli Peti Harta karun gacha dan isi ulang kartu bantuan kuis.
Halaman Buka Peti Gacha	Toko & Inventori	Animasi gacha membuka kotak peti harta karun untuk mendapatkan kartu koleksi artefak sejarah nasional.
Halaman Statistik & Lencana	Profil Siswa	Halaman pemantau level akun siswa, grafik perolehan XP, dan deretan lencana pencapaian belajar.
Kustomisasi Profil	Profil Siswa	Fitur mengganti pakaian skin avatar karakter (Budi/Wati), bingkai foto profil, dan melengkapi pin lencana.
Museum Galeri Artefak	Profil Siswa	Galeri penyimpanan kartu artefak sejarah (seperti Keris, Miniatur Candi), lengkap dengan deskripsi teks narasi sejarah edukatif.
Pengaturan Setelan	Pengaturan	Pengaturan volume musik latar, volume efek suara, pemilihan tema gelap/terang, dan tombol aktivasi Mode Pengembang (Dev Mode).
Dasbor Overview Guru	Dasbor Guru	Layar ringkasan jumlah kelas virtual pengajar, murid aktif, daftar kelas terdaftar, serta CRUD tambah/hapus kelas.
Manajemen Murid Guru	Dasbor Guru	Daftar rekam seluruh profil siswa, absensi kehadiran siswa di kelas virtual, dan input catatan guru pengajar.
Bank Soal Guru	Dasbor Guru	Tempat penyusunan kuis (5 variasi tipe soal), penyimpanan bank soal kuis, dan perilisan tugas PR kuis ke kelas virtual murid.
Setelan Guru	Dasbor Guru	Halaman penyesuaian profil akun pengajar dan informasi data mengajar guru.
